// WARNING: Do not edit this file
// Any edits made to this file will be lost if you install a new version of the plugin
// Instead, add custom frame targets in a new file named "ssf_custom.txt"

005,268
1941,1046
1942,640
1943,70
1943kai,551
1944,687
1945kiii,425
19xx,465
2020bb,243
280zzzap,500
3countb,243
3in1semi,205
3kokushi,101
3stooges,45
3wonders,667
40love,242
47pie2,306
4dwarrio,17
4enraya,204
4in1,106
4in1boot,137
4psimasy,416
64street,195
720,135
7jigen,303
88games,506
8ball,285
8ballact,264
9ballsht,2105
aafb,78
abaseb,0
abcop,82
abunai,276
aburner2,40
ace,85
aceattac,0
acedrvrw,0
acommand,0
acrobatm,852
actfancr,437
actionhw,218
ad2083,224
aerofgt,556
afighter,11
agallet,957
agress,425
ainferno,596
airass,459
airbustr,633
airco22b,0
aircomb,890|848
aircombj,645|547
airduel,29
airwolf,614
ajax,450
akiss,42
alexkidd,13
alibaba,0
alien3,45
aliens,430
aliensec,169
aliensyn,376
aligator,107
alleymas,509
alphaho,13
alpham2,243
alpine,63
alpinerd,0
altbeast,34
amazon,85
ambush,150
amerdart,0
amidar,260
amspdwy,102
androdun,243
andromed,0
angelkds,5
animaljr,137
anteater,70
aodk,243
aof,243
aof2,243
aof3,243
apache3,537
apb,572
apparel,485
appoooh,638
aquajack,123
aquarium,167
aquarush,551
ar_airh,1667
ar_bowl,1783
ar_dart,1891
ar_fast,1931
ar_ldrb,2016
ar_ninj,1800
ar_rdwr,1768
ar_sdwr,1820
ar_spot,2020
ar_sprg,1746
ar_xeon,1780
arabfgt,41
arabian,57
arabianm,169
arbalest,131
arcadecl,540
archrivl,143
area51,65
area51mx,287
arescue,532
argus,15
argusg,0
arkanoid,600
arkanoidu,600
arkarea,184
arknoid2,111
arkretrn,667
arlingtn,331
armedf,335
armora,266
armorcar,312
armwar,358
armwaru,550
armwrest,81
ashnojoe,332
ashura,193
aso,273
assault,107
astdelux,0
asterix,547
asteroid,0
astinvad,290
astorm,0
astrass,1187
astrob,0
astrof,27
astyanax,592
asuka,612
asurabld,435
asylum,68
atarifb,0
ataxx,0
atehate,136
atetris,384
athena,269
atlantis,3
atomicp,220
aurail,452
av2mj1bb,7651
av2mj2rg,7661
avalnche,136
avengers,621
avengrgs,0
avsp,760
avspirit,22
avspu,1130
aztarac,33
azurian,195
backfire,0
baddudes,35
badlands,182
bagman,11
bakatono,243
bakubaku,1197
bakutotu,515
balcube,703
ballbomb,96
ballbros,92
balonfgt,6
baluba,13
bananadr,628
bang,811
bangball,192
bangbead,243
bankp,113
barricad,17
barrier,186
basebal2,237
bass,0
batcir,482
batman,45
batmanfr,0
batrider,1256
batsugun,653
battlane,296
battlcry,116
battlera,595
battlex,32
battlnts,191
battroad,570
bayroute,77
bbakraid,1414
bballs,3
bbbxing,27
bbmanw,518
bbonk,0
bbusters,296
bchopper,158
bcruzm12,1366
bcstry,63
beaminv,54
beastrzr,760
beathead,100
beezer,73
bel,0
benberob,51
berabohm,568
berlwall,148
bermudat,299
berzerk,586
bgaregga,2655
bigbucks,0
bigevglf,674
bigfghtr,0
bigkarnk,846
bigprowr,5
bigrun,37
bigstrik,345
bigtwin,312
bijokkog,425
bijokkoy,425
bioatack,289
biofreak,1346
biomtoy,1095
bionicc,527
bioship,354
birdtry,323
bishi,546
bjourney,243
bjtwin,59
bking,497
bking2,0
bking3,38
bkrtmaq,609|116
bladestl,190
blandia,304
blasted,347
blaster,923
blasto,0
blastoff,390
blazeon,359
blazer,782|123
blazstar,243
bldyror2,0
blitz,750
blitz2k,920
blitz99,850
blkheart,91
blkhole,0
blkpnthr,518
blktiger,563
blmbycar,655
block,789
blockade,9
blockcar,11
blocken,822
blockgal,0
blockhl,294
blockout,506
bloodbro,312
bloodstm,325
bloodwar,98
bloxeed,323
blstroid,30
blswhstl,384
bluehawk,23
blueprnt,38
blueshrk,16
blzntrnd,1074
bm1stmix,8300
bm2ndmix,8300
bm4thmix,8450
bm5thmix,8600
bm6thmix,8600
bmaster,662
bmcbowl,341
bmcompm2,8600
bmcompmx,8300
bmcorerm,8600
bmdct,8600
bnglngby,95
bnzabros,1202
bodyslam,50
bogeyman,4
boggy84,5
bombbee,518
bombjack,1180
bongo,4
bonkadv,885
bonzeadv,209
boogwing,0
boomrang,57
boothill,0
borench,282
borntofi,0
bosco,1010
botanic,340
bottom9,436
bouldash,33
bounty,349
bowler,560
bowlrama,1157
boxer,71
boxingb,184
boxyboy,546
bradley,46
brain,26
brdrlinb,4
breakers,243
brickzn,594
brival,44
brkthru,538
brubber,0
brutforc,244
brvblade,530
bshark,386
bsktball,0
bssoccer,529
bstars,243
bstars2,243
btime,0
btlecity,61
btlkroad,144
btoads,40
bubblem,292
bubbles,649
bubl2000,15
bublbob2,595
bublbobl,24
buccanrs,106
buckrog,50
bucky,428
buggyboy,136
buggychl,122
bullfgt,289
bullfgtr,349
bullsdrt,101
burglarx,557
burnforc,882|31
burningf,243
butasan,1027
bwcasino,0
bwidow,121
bwing,467
bzone,0
cabal,7
cachat,470
cadash,141
cairblad,85
calibr50,212
calipso,33
calorie,0
calspeed,0
cameltry,765
cannball,94
cannonb,0
canyon,0
capbowl,645
captaven,191
captcomm,691
carjmbre,1740
carnevil,1200
carnival,70
carpolo,504
cartfury,0
castfant,8890
cavelon,538
cavenger,5
cawing,894
cbaj,0
cball,34
cbasebal,370
cbdash,9150
cbtime,9610
cburnrub,10150
cbuster,137
ccasino,51
ccastles,470
cchasm,6
cclimber,12
cclimbr2,341
cdiscon1,9290
centiped,0
cerberus,6
cfghtice,0
cflyball,12300
cgangpzl,0
cgraplop,10210
chainrec,0
chaknpop,219
challeng,62
chameleo,150|12
champbas,53
champbb2,231
champbwl,0
champwr,636
changes,353
charlien,49
chasehq,610
chboxing,80
checkman,431
checkmat,368
cheekyms,561
cheesech,345
chelnov,523
cheyenne,1672
chiller,0
chimerab,29
chinagat,308
chinatwn,263
chinhero,416
chinmoku,296
chokchok,17
choplift,3031|331
chopliftbl, 12
chopper,250
chqflag,512
chukatai,30
chwrestl,63
circus,0
circusc,259
cischeat,90
citybomb,627
citycon,266
citylove,569
ckong,5
clapapa,9878
claypign,0
clayshoo,328
cleopatr,601
cloak,10
clocknch,8575
cloud9,31
clowns,884
clshroad,50
cltchitr,364
club90s,351
cluckypo,8925
cluclu,375
cmehyou,183
cmissnx,8512
cnightst,10135
cninja,231
cninjau,400
cobracom,25
colmns97,1199
colony7,36
columns,48
columns2,49
combasc,571
combat,0
commando,650
commandw,604
commsega,5
comotion,8
compgolf,391
complexx,0
congo,5
contcirc,257
contra,406
cookbib,20
cookbib2,37
coolpool,1367
cop01,125
copsnrob,0
cosmccop,498
cosmica,0
cosmicg,639
cosmo,65
cosmogng,0
cosmos,0
cotton,21
cotton2,1212
cottonbm,0
countrun,0
cppicf,9800
cprobowl,10150
cprogolf,8946
cpsoccer,11679
cptennis,9215
cracksht,0
crash,10
crater,390
crbaloon,23
crgolf,0
crimec,142
crimfght,251
crkdown,0
crospang,174
crossbow,0
crshrace,544
crsword,243
crush,366
crusnusa,746
crusnwld,634
cryptklr,3700
crysking,158
crystal2,603
crystalg,0
crzrally,360
csclub,1110
cscrtry,9340
cshift,597
cshooter,629
csilver,2
csprint,58
cstlevna,1015
csuperas,8150
cterrani,8990
ctomaday,243
ctornado,9500
ctribe,293
ctsttape,0
cubybop,355
cuebrick,301
cupfinal,547
cupsoc,1
curvebal,0
cutieq,570
cworld,163
cworld2j,455
cybattlr,240
cyberbal,71
cyberlip,243
cybertnk,1200
cybots,67
cybsled,360
cyclshtg,464|582
cyclwarr,447
cyvern,528
dacholer,505
daioh,227
daiskiss,802
daitorid,421
daiyogen,87
danceyes,302
danchih,1194
dangar,162
dangerz,416
dangseed,990|180
daraku,681
darius,281
darius2,555
dariusg,510
darkedge,0
darkplnt,45
darkseal,15
darktowr,262
darkwar,0
darwin,256
dazzler,174
dblaxle,600
dblewing,79
dblplay,402
dblpoint,5
dbreed,44
dbz,15
dbz2,146
dbzvrvs,0
dcclub,813
dcclubfd,976
dcheese,0
dcon,246
dday,150
ddcrew,30
ddenlovr,534
ddonpach,1800
ddp2,1144
ddragon,262
ddragon2,37
ddragon3,50
ddragonu,230
ddribble,515
ddsom,410
ddtod,995
ddungeon,236
ddux,6
deadang,134
deadconx,394
deadeye,0
decathlt,0
defender,720
demndrgn,25
demoderb,446
demon,154
demoneye,86
demonwld,199
depthch,77
desertbr,334
desertgu,2
desertwr,32
destroyr,0
devilfsh,124
devilw,1079
devstors,277
devzone,28
dharma,197
diamond,370
diehard,0
dietgo,442
digdug,700
digdug2,290
digger,48
diggerc,132
dimahoo,678
dingo,332
dino,310
dinorex,472
dirtfoxj,0
disco,48
diverboy,44
djboy,617
dkong,5
dkong3,20
dkongjr,4|0
dleague,48
doapp,66
docastle,106
dockman,203
dodgem,271
dogfgt,288
dogfight,126
dogpatch,0
dogyuun,714
dokaben,80
dokyusei,6
dokyusp,207
domino,216
dominos,10
dommy,0
dondenmj,0
dondokod,184
donpachi,881
dorachan,196
dorodon,4
dorunrun,371
dotrikun,0
dotron,40
doubledr,243
dowild,7
downtown,318
dragnblz,645
dragngun,581
dragoona,1419
dragrace,0
dremshpr,17
drgnbowl,99
drgnbstr,112
drgnmst,606
drgnunit,315
drgpunch,175
drgw2,1194
dribling,0
drifto94,92
driftout,510
drivedge,1224
drivfrcp,239
drmario,12
drmicro,35
drtomy,159
drtoppel,105
dsaber,0
dsoccr94,697
dspirit,180
dstlk,503
duckhunt,9
dungeonm,514
dunkmnia,445
dunkshot,45
dyger,645
dynablst,394
dynadice,0
dynagear,235
dynamski,241
dynduke,318
dynobop,543
dynwar,148
eaglshot,37
earthjkr,112
ebases,210
ecofghtr,1000
edf,42
edrandy,377
eggor,0
eggventr,389
ehrgeiz,381
eightfrc,198
eightman,243
einnings,159
ejanhs,18
ejihon,0
elecyoyo,0
elevator,70
elim2,538
elvactr,513
embargo,250
emeralda,402|122
empcity,226
enduror,26
enforce,449
enigma2,29
eprom,680
equites,354
ertictac,66
esb,559
esckids,317
espial,131
esprade,519
eswat,124
eto,125
evilston,41
evosocc,377
excelsr,242
excitebk,14
exctleag,0
exctscc2,435
exctsccr,437
exedexes,621
exerion,0
explbrkr,467
exprraid,269
extdwnhl,853
exterm,151
extrmatn,149
exvania,482|196
exzisus,392
eyes,107
f1dream,121
f1en,0
f1gp,489
f1gp2,324
f1gpstar,133
f1gpstr2,46
faceoff,712|135
fantasia,113
fantasy,4
fantland,27
fantsia2,34
fantsy95,113
fantzn2,0
fantzone,0
fastlane,572
fatfursp,243
fatfury1,243
fatfury2,243
fatfury3,243
fax,10634|9710
fbfrenzy,243
fcombat,594
feversos,1031
ffight,740
ffreveng,0
fghtatck,566|286
fghtbskt,416
fghthist,38
fgoal,0
fgtlayer,198
fhawk,69
fhboxers,0
fieldday,139
fightfev,243
fightrol,98
finalap2,97
finalap3,43
finalb,316
finalizr,176
finallap,38
finalttr,128
findout,233
finehour,0
firebarr,763
firebatl,385
firehawk,156
fireone,0
fireshrk,241
